----INPUT DATA----- 

  Bundle    Number      Subconductor Subconductor Voltage-     Phase   Horizontal   Vertical   
    ID        of          Diameter     Spacing   to-Ground     Angle   Coordinate  Coordinate     
    (#)   Subconductors     (cm)         (cm)       (kV)      (degree)    (m)          (m)        
  -------  -----------    --------    ---------   --------   ---------  --------    --------- 
    1A       3            3.31         46.0         303.1       0.0     -5.00        27.00
    1B       3            3.31         46.0         303.1    -120.0     -7.50        20.50
    1C       3            3.31         46.0         303.1     120.0     -5.00        14.00
    2A       2            4.07         46.0         303.1       0.0      5.00        14.00
    2B       2            4.07         46.0         303.1    -120.0      7.50        20.50
    2C       2            4.07         46.0         303.1     120.0      5.00        27.00
     3       1            1.10          0.0           0.0       0.0     -3.00        35.00
     4       1            1.10          0.0           0.0       0.0      3.00        35.00

 Altitude: 0.0 (m)
 Height Above Ground: 1.5 (m)

    ----------- SURFACE GRADIENT AND GENERATED ACOUSTIC POWER (db above 1µW/m) ---------------         

 Bundle        Number       Subconductor      Surface     L50       L50      L5           Fair         
  ID             of          Diameter         Gradient    Rain     Rain     Rain         Weather       
  (#)       Subconductors       (cm)          (kV/cm)     EPRI      BPA     EPRI          Range        
 -------  ---------------  --------------  -----------  -------  -------  ---------  -------  -----    
    1A          3              3.31           18.0      -51.1     -50.9    -48.1      -76.3    -59.6
    1B          3              3.31           18.6      -49.4     -49.1    -46.8      -72.6    -57.4
    1C          3              3.31           18.1      -50.9     -50.7    -47.9      -75.8    -59.4
    2A          2              4.07           19.2      -43.0     -42.2    -38.3      -59.4    -46.5
    2B          2              4.07           19.6      -42.1     -41.2    -37.6      -57.6    -45.4
    2C          2              4.07           19.2      -43.1     -42.3    -38.3      -59.6    -46.7
     3          1              1.10            7.1     -162.8    -125.2   -123.4     -460.9   -239.6
     4          1              1.10            5.8     -193.9    -135.6   -143.9     -650.9   -304.0


      ------------  AUDIBLE NOISE PROFILE  ---------------        

   .             L50       L50            L5           Fair       
   .             Rain      Rain          Rain        Weather      
   X             EPRI      BPA(*)        EPRI         Range       
  (m)            (dbA)    (dbA)         (dbA)     (dbA)   (dbA)   
 -------     ----------  ---------   ----------  ------- -------- 
 -150.00         52.1       52.9         56.4      35.3    48.1
 -145.00         52.3       53.0         56.7      35.6    48.3
 -140.00         52.5       53.2         56.9      35.8    48.6
 -135.00         52.8       53.4         57.2      36.0    48.8
 -130.00         53.1       53.5         57.4      36.3    49.1
 -125.00         53.3       53.7         57.7      36.6    49.3
 -120.00         53.6       53.9         57.9      36.8    49.6
 -115.00         53.9       54.1         58.2      37.1    49.9
 -110.00         54.1       54.3         58.5      37.4    50.1
 -105.00         54.4       54.5         58.8      37.7    50.4
 -100.00         54.7       54.8         59.1      37.9    50.7
  -95.00         55.0       55.0         59.4      38.2    51.0
  -90.00         55.3       55.2         59.7      38.6    51.3
  -85.00         55.7       55.5         60.0      38.9    51.7
  -80.00         56.0       55.8         60.3      39.2    52.0
  -75.00         56.4       56.1         60.7      39.6    52.3
  -70.00         56.7       56.4         61.1      39.9    52.7
  -65.00         57.1       56.7         61.4      40.3    53.1
  -60.00         57.5       57.0         61.8      40.7    53.5
  -55.00         57.9       57.4         62.2      41.1    53.9
  -50.00         58.4       57.8         62.7      41.5    54.3
  -45.00         58.8       58.2         63.1      42.0    54.8
  -40.00         59.3       58.7         63.6      42.5    55.3
  -35.00         59.8       59.2         64.2      43.0    55.8
  -30.00         60.4       59.7         64.7      43.5    56.3
  -25.00         61.0       60.3         65.3      44.1    56.9
  -20.00         61.6       60.9         66.0      44.7    57.5
  -15.00         62.3       61.6         66.6      45.4    58.2
  -10.00         63.0       62.3         67.3      46.1    58.9
   -5.00         63.6       62.9         67.9      46.8    59.5
    0.00         64.0       63.4         68.4      47.3    60.1
    5.00         64.2       63.6         68.6      47.6    60.3
   10.00         63.9       63.3         68.4      47.4    60.1
   15.00         63.4       62.8         67.9      46.9    59.6
   20.00         62.8       62.1         67.2      46.3    59.0
   25.00         62.1       61.4         66.5      45.6    58.3
   30.00         61.4       60.8         65.9      44.9    57.6
   35.00         60.8       60.1         65.2      44.3    57.0
   40.00         60.2       59.6         64.6      43.7    56.4
   45.00         59.7       59.0         64.1      43.1    55.8
   50.00         59.2       58.6         63.6      42.6    55.3
   55.00         58.7       58.1         63.1      42.1    54.8
   60.00         58.2       57.7         62.6      41.7    54.4
   65.00         57.8       57.3         62.2      41.2    53.9
   70.00         57.4       56.9         61.8      40.8    53.5
   75.00         57.0       56.6         61.4      40.4    53.1
   80.00         56.6       56.3         61.0      40.0    52.7
   85.00         56.2       56.0         60.7      39.7    52.4
   90.00         55.9       55.7         60.3      39.3    52.0
   95.00         55.6       55.4         60.0      39.0    51.7
  100.00         55.2       55.2         59.6      38.7    51.4
  105.00         54.9       54.9         59.3      38.3    51.1
  110.00         54.6       54.7         59.0      38.0    50.8
  115.00         54.3       54.5         58.7      37.7    50.5
  120.00         54.0       54.3         58.5      37.5    50.2
  125.00         53.8       54.1         58.2      37.2    49.9
  130.00         53.5       53.9         57.9      36.9    49.6
  135.00         53.2       53.7         57.6      36.6    49.4
  140.00         53.0       53.5         57.4      36.4    49.1
  145.00         52.7       53.3         57.1      36.1    48.8
  150.00         52.5       53.1         56.9      35.9    48.6

(*) According to the BPA method the L5 rain is obtained by adding 3.5 dB to the L50 rain and
    the L50 fair weather value is obtained by subtracting 25 dB from the L50 rain value. 
